Z,Symbol,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Lg1,Ma1,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N23,N4,N5,N6,N7,O1,O23,O45,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,,,,,,,,,,,,
75,Re,61140.3,59717.9,69310,8652.5,8586.2,10010,10275.2,11685.4,1842.5,NaN,NaN,NaN,NaN,2932,2682,2367,1949,1883,625,444,260,260,NaN,NaN,83,35,NaN,1.96952105e+00,1.21726619e+00,4.10391685e+00,4.98830620e+01,1.33243809e-01,1.84396916e+00,2.90791978e-02,2.30696669e-01,6.08840299e-01,2.84192813e-02,1.90968784e-01,1.37090356e+00,,,,,,,,,,,,
76,Os,63000.5,61486.7,71413,8911.7,8841,10355.3,10598.5,12095.3,1910.2,NaN,NaN,NaN,NaN,NaN,2792,2457,2031,1960,654,468,273,273,46,46,84,45,NaN,2.06385867e+00,1.29603406e+00,3.96920673e+00,4.05671697e+01,1.46559047e-01,1.82561596e+00,2.69835487e-02,2.31083999e-01,6.30466774e-01,2.84172045e-02,1.79765184e-01,1.38911543e+00,,,,,,,,,,,,
77,Ir,64895.6,63286.7,73560.8,9175.1,9099.5,10708.3,10920.3,12512.6,1979.9,NaN,NaN,NaN,NaN,NaN,2909,2551,2116,2040,690,494,295,295,60,60,95,50,NaN,2.21522726e+00,1.37573155e+00,3.78244405e+00,3.24464090e+01,1.60920048e-01,1.78756553e+00,2.44643240e-02,2.36932016e-01,6.48471412e-01,2.82909938e-02,1.70692368e-01,1.37928390e+00,,,,,,,,,,,,
78,Pt,66832,65112,75748,9442.3,9361.8,11070.7,11250.5,12942,2050.5,NaN,NaN,NaN,NaN,NaN,3026,2645,2202,2122,722,519,313,313,71,71,102,52,NaN,9.84697940e-01,2.73987079e+00,3.61696715e+00,1.60910839e-01,7.18971667e-01,1.29281016e+01,3.02885602e-01,2.78370726e-01,1.52124129e-02,1.70134854e-01,1.49862703e+00,2.83510822e-02,,,,,,,,,,,,
79,Au,68803.7,66989.5,77984,9713.3,9628,11442.3,11584.7,13381.7,2122.9,NaN,NaN,NaN,NaN,NaN,3148,2743,2291,2206,759,545,334,334,83,83,108,54,NaN,9.61263398e-01,3.69581030e+00,2.77567491e+00,1.70932277e-01,1.29335319e+01,6.89997070e-01,2.95414176e-01,3.11475743e-01,1.43237267e-02,1.63525510e-01,1.39200901e+00,2.71265337e-02,,,,,,,,,,,,
80,Hg,70819,68895,80253,9988.8,9897.6,11822.6,11924.1,13830.1,2195.3,NaN,NaN,NaN,NaN,NaN,3278,2847,2385,2295,800,571,360,360,98,98,120,58,NaN,1.29200491e+00,2.75161478e+00,3.49387949e+00,1.83432865e-01,9.42368371e-01,1.46235654e+01,2.77304636e-01,4.30232810e-01,1.48294351e-02,1.55110144e-01,1.28871670e+00,2.61903834e-02,,,,,,,,,,,,
81,Ti,72871.5,70831.9,82576,10268.5,10172.8,12213.3,12271.5,14291.5,2270.6,NaN,NaN,NaN,NaN,NaN,3416,2957,2485,2389,845,609,386,386,118,118,136,75,NaN,3.75964730e+00,3.21195904e+00,6.47767825e-01,1.35041513e+01,6.66330993e-01,9.22518234e-02,2.76123274e-01,3.18838810e-01,1.31668419e-02,1.50312897e-01,1.12565588e+00,2.48879842e-02,,,,,,,,,,,,
82,Pb,74969.4,72804.2,84936,10551.5,10449.5,12613.7,12622.6,14764.4,2345.5,NaN,NaN,NaN,NaN,NaN,3554,3066,2586,2484,894,644,413,413,138,138,147,86,19,1.00795975e+00,3.09796153e+00,3.61296864e+00,1.17268427e-01,8.80453235e-01,1.47325812e+01,2.62401476e-01,4.05621995e-01,1.31812509e-02,1.43491014e-01,1.04103506e+00,2.39575415e-02,,,,,,,,,,,,
83,Bi,77107.9,74814.8,87343,10838.8,10730.91,13023.5,12979.9,15247.7,2422.6,NaN,NaN,NaN,NaN,NaN,3696,3177,2688,2580,938,679,440,440,157,157,159,93,24,1.59826875e+00,4.38233925e+00,2.06074719e+00,1.56897471e-01,2.47094692e+00,5.72438972e+01,1.94426023e-01,8.22704978e-01,2.33226953e-02,1.32979109e-01,9.56532528e-01,2.23038435e-02,,,,,,,,,,,,
84,Po,79290,76862,89800,11130.8,11015.8,13447,13340.4,15744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4046,3491,3332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.71463223e+00,2.14115960e+00,4.37512413e+00,9.79262841e+01,2.10193717e-01,3.66948812e+00,2.16216680e-02,1.97843837e-01,6.52047920e-01,1.98456144e-02,1.33758807e-01,7.80432104e-01,,,,,,,,,,,,
85,At,81520,78950,92300,11426.8,11304.8,13876,NaN,16251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.48047794e+00,2.09174630e+00,4.75246033e+00,1.25943919e+02,1.83803008e-01,4.19890596e+00,1.85643958e-02,2.05859375e-01,7.13540948e-01,1.81383503e-02,1.33035404e-01,7.03031938e-01,,,,,,,,,,,,
86,Rn,83780,81070,94870,11727,11597.9,14316,NaN,16770,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.30022295e-01,3.80962881e+00,3.89756067e+00,1.40909762e-01,3.08515540e+01,6.51559763e-01,2.40755100e-01,2.62868577e+00,3.14285931e-02,1.08899672e-01,6.42383261e+00,2.42346699e-02,,,,,,,,,,,,
87,Fr,86100,83230,97470,12031.3,11895,14770,14450,17303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.23288135e+00,2.48604205e+00,3.23431354e-01,8.60599536e+00,3.04543982e-01,3.87759096e-02,2.55403596e-01,5.53607228e-01,5.75278889e-03,1.28717724e-01,5.36977452e-01,1.29417790e-02,,,,,,,,,,,,
88,Ra,88470,85430,100130,12339.7,12196.2,15235.8,14841.4,17849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.44192685e+00,3.55291725e+00,3.91259586e+00,1.18740873e-01,1.01739750e+00,6.31814783e+01,2.16173519e-01,3.94191605e+00,4.60422605e-02,9.55806441e-02,3.50602732e+01,2.20850385e-02,,,,,,,,,,,,
89,Ac,90884,87670,102850,12652,12500.8,15713,NaN,18408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.45864127e+00,4.18945405e+00,3.65866182e+00,1.07760494e-01,8.89090649e+01,1.05088931e+00,2.08479229e-01,3.16528117e+00,5.23892556e-02,9.09335557e-02,3.13297788e+01,2.08807697e-02,,,,,,,,,,,,
90,Th,93350,89953,105609,12968.7,12809.6,16202.2,15623.7,18982.5,2996.1,NaN,NaN,NaN,NaN,NaN,NaN,4046,3491,3332,1329,967,714,676,344,335,290,182,88,1.19014064e+00,2.55380607e+00,4.68110181e+00,7.73468729e-02,6.59693681e-01,1.28013896e+01,2.26121303e-01,3.58250545e-01,7.82263950e-03,1.08632194e-01,4.56765664e-01,1.62623474e-02,,,,,,,,,,,,
91,Pa,95868,92287,108427,13290.7,13122.2,16702,16024,19568,3082.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.68537504e+00,2.98413708e+00,8.91988061e-01,1.44503632e+01,5.56438592e-01,6.69512914e-02,2.24825384e-01,3.04444846e-01,9.48162708e-03,1.03235396e-01,4.27255647e-01,1.77730611e-02,,,,,,,,,,,,
92,U,98439,94665,111300,13614.7,13438.8,17220,16428.3,20167.1,3170.8,NaN,NaN,NaN,NaN,NaN,NaN,4303,3728,3552,1441,1045,780,738,391,381,324,195,96,4.63343606e+00,3.18157056e+00,8.76455075e-01,1.63377267e+01,5.69517868e-01,6.88860012e-02,2.21685477e-01,2.72917100e-01,1.11737298e-02,9.84254550e-02,4.09470917e-01,1.86215410e-02,,,,,,,,,,,,
93,Np ,NaN ,NaN ,NaN ,13944.1,13759.7,17750.2,16840,20784.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.56773888e+00,3.40325179e+00,8.61841923e-01,1.90992795e+01,5.90099634e-01,7.03204851e-02,2.19728870e-01,2.38176903e-01,1.38306499e-02,9.36334280e-02,3.93554882e-01,1.94437286e-02,,,,,,,,,,,,
94,Pu ,NaN ,NaN ,NaN ,14278.6,14084.2,18293.7,17255.3,21417.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.45671123e+00,1.11687906e-01,3.30260343e+00,1.01892720e+01,3.98131313e-02,3.14622212e-01,1.84568319e-01,4.93644263e-01,3.57484743e+00,1.04220860e-01,4.63080540e-01,2.19369542e+01,,,,,,,,,,,,
95,Am ,NaN ,NaN ,NaN ,14617.2,14411.9,18852,17676.5,22065.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.38321999e+00,1.23343236e-01,3.46469090e+00,1.07289857e+01,4.15137806e-02,3.39326208e-01,1.75437132e-01,3.39800073e+00,4.69459519e-01,9.98932346e-02,2.11601535e+01,4.51996970e-01,,,,,,,,,,,,
96,Cm,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,5.38402377e+00,3.49861264e+00,1.88039547e-01,1.11211419e+01,3.56750210e-01,5.39853583e-02,1.69143137e-01,3.19595016e+00,4.64393059e-01,9.60082633e-02,1.80694389e+01,4.36318197e-01,,,,,,,,,,,,
97,Bk,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,3.66090688e+00,2.03054678e-01,5.30697515e+00,3.84420906e-01,5.48547131e-02,1.17150262e+01,1.60934046e-01,3.04808401e+00,4.43610295e-01,9.21020329e-02,1.73525367e+01,4.27132359e-01,,,,,,,,,,,,
98,Cf,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,3.94150390e+00,5.16915345e+00,1.61941074e-01,4.18246722e-01,1.25201788e+01,4.81540117e-02,4.15299561e-01,2.91761325e+00,1.51474927e-01,4.24913856e-01,1.90899693e+01,8.81568925e-02,,,,,,,,,,,,
99,Es,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,4.09780623e+00,5.10079393e+00,1.74617289e-01,4.46021145e-01,1.31768613e+01,5.02742829e-02,2.76774658e+00,1.44496639e-01,4.02772109e-01,1.84815393e+01,8.46232592e-02,4.17640100e-01,,,,,,,,,,,,
100,Fm,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,4.24934820e+00,5.03556594e+00,1.88920613e-01,4.75263933e-01,1.38570834e+01,5.26975158e-02,3.94356058e-01,2.61213100e+00,1.38001927e-01,4.11193751e-01,1.78537905e+01,8.12774434e-02,,,,,,,,,,,,
101,Md,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,2.00942931e-01,4.40119869e+00,4.97250102e+00,5.48366518e-02,5.04248434e-01,1.45721366e+01,2.47530599e+00,3.86883197e-01,1.31936095e-01,1.72978308e+01,4.05043898e-01,7.80821071e-02,,,,,,,,,,,,
102,No,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,2.16052899e-01,4.91106799e+00,4.54862870e+00,5.83584058e-02,1.53264212e+01,5.34434760e-01,2.36114249e+00,1.26277292e-01,3.81364501e-01,1.68164803e+01,7.50304633e-02,3.99305852e-01,,,,,,,,,,,,
103,Lr,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,4.86738014e+00,3.19974401e-01,4.58872425e+00,1.60320520e+01,6.70871138e-02,5.77039373e-01,1.21482448e-01,2.31639872e+00,3.79258137e-01,7.22275899e-02,1.41279737e+01,3.89973484e-01,,,,,,,,,,,,
